jenis_kelamin,usia,tinggi_cm,berat_kg,level_aktivitas,target_user,akg_energi_kkal,akg_protein_g,akg_lemak_total_g,akg_karbohidrat_g
Laki-laki,17,180.7,59.243506,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,17,180.0,50.0,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.7,50.664459,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,173.9,50.951444,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,165.0,70.0,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,153.0,55.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.0,78.0,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,176.0,69.5,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,170.0,50.0,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,16,161.0,65.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,178.0,108.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,172.0,52.289828,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,159.0,53.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,16,155.0,45.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.8,51.314659,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,185.0,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,175.1,86.963628,aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,180.0,72.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,164.5,68.392133,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,173.7,76.699774,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,16,167.0,50.0,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,150.0,50.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,162.3,82.403076,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.0,60.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,164.9,84.897738,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,165.0,84.210535,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,167.0,60.0,tidak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,170.3,91.499683,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.0,50.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,179.0,52.0,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,187.0,67.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,174.0,70.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,179.3,108.204547,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.4,108.413119,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,167.0,91.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.0,80.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,170.7,99.544696,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,175.0,85.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,174.6,128.261402,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,165.0,82.323954,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,184.4,109.195529,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.4,109.207614,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,168.7,90.004046,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,163.4,82.459577,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.0,55.0,tidak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,162.0,55.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,174.6,133.665587,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.0,70.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,17,155.1,54.93242,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,16,160.4,65.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,166.0,56.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,16,160.0,57.0,sangat_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,172.0,62.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,179.0,57.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,16,157.0,49.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,16,184.0,45.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,172.0,55.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,171.7,51.149283,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,163.7,70.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,180.0,80.0,tidak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,177.1,137.044959,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,16,166.0,58.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,186.0,110.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,160.0,65.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,180.2,141.166265,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,180.0,58.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,16,182.0,71.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,17,156.0,51.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,160.0,58.0,sangat_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.2,80.0,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,169.0,60.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,170.0,55.3,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,177.8,80.273807,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,184.0,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,185.5,59.20945,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,16,169.1,52.629374,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,16,175.3,50.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,171.1,51.588874,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,170.0,50.0,agak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,16,169.1,50.0,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.8,51.552595,aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,181.1,58.83071,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,17,183.0,43.534531,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,178.3,56.029418,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,178.7,50.0,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,189.7,59.895052,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,175.3,51.457226,aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,170.4,50.631889,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,184.5,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,175.6,52.0,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,183.5,59.990861,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,172.2,52.514302,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,171.9,52.058335,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,177.0,55.695253,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,160.2,82.412665,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,161.7,83.121811,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,166.9,85.607466,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,169.3,89.93889,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,177.2,55.695036,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,169.4,52.0,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.2,50.869704,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,175.6,52.331172,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,183.7,58.943347,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,170.7,51.121749,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,171.1,50.92538,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,179.9,59.612717,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,182.0,58.325122,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,184.0,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,182.5,58.621349,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,188.3,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,171.8,51.7325,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,170.0,50.0,agak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,170.0,50.0,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,17,171.1,50.0,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.3,54.121925,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,170.2,50.157707,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,182.4,59.295172,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,184.8,59.409018,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,174.4,50.0,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,170.0,50.0,agak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,17,164.8,49.603807,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,159.0,40.202773,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,180.9,58.968994,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,179.4,59.682591,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,16,181.8,47.124717,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,17,158.5,44.411801,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,17,164.1,43.365005,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,177.7,57.145917,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,180.4,108.251044,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,179.8,108.316462,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.3,108.044313,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,174.6,133.03441,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,182.5,58.913579,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,185.0,66.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,17,177.8,44.762023,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,162.0,50.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,17,171.1,45.248627,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,185.4,59.881316,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,182.2,59.605028,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,163.0,63.0,sangat_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,172.0,53.0,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,17,174.8,49.928447,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,155.0,50.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,155.0,56.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,169.5,92.508122,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,170.1,50.088468,agak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,160.0,56.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,156.0,55.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,172.3,50.0,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,164.0,59.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,168.3,90.924208,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,160.0,55.0,sangat_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,165.0,85.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,169.2,90.019501,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,185.9,111.235188,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,184.5,59.313525,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,185.3,59.619485,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,169.9,52.08657,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,17,163.0,65.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,176.7,51.132809,aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,193.0,86.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.8,108.019211,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,172.3,97.350366,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.8,52.0,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,169.9,51.692272,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,167.0,66.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,171.4,50.0,sangat_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,180.0,108.934574,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,150.0,58.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,181.2,108.897324,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,174.0,64.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,157.0,50.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,17,158.0,50.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,181.1,108.800964,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,164.0,56.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,171.0,75.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,162.0,68.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,180.7,108.829395,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,163.0,51.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,154.0,71.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,160.0,83.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,173.3,51.216463,tidak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,17,174.4,50.0,aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.8,52.09432,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,178.7,51.524444,aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,18,160.0,51.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,180.0,68.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,172.1,99.430612,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,16,161.6,67.183128,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.0,86.372141,aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,170.0,83.199034,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,16,161.7,65.062945,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,17,153.6,57.259124,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,154.3,71.799982,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,160.0,58.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,162.0,69.3899,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,174.0,64.0,tidak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,176.0,86.0805,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,173.8,97.185474,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,174.3,86.565148,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,168.1,79.752916,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,157.0,48.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,182.0,108.395005,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,179.2,108.244379,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,158.0,48.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,167.0,86.242679,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,160.9,84.493156,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,173.5,126.798173,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,160.0,65.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,165.5,80.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,160.1,82.249831,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,180.2,104.741914,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,164.8,68.818893,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,173.1,84.064875,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,16,160.9,65.0,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,182.1,108.742005,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,164.4,67.439589,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,179.1,108.9606,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,168.6,90.032671,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,151.8,55.822119,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,17,148.9,53.620604,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.4,85.002884,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,180.0,95.419668,aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,16,161.4,66.738769,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,156.0,51.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,161.9,67.193585,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,17,175.0,57.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,17,170.0,85.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,171.1,99.860254,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,160.0,65.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,17,160.0,65.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.0,80.0,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,175.1,80.0,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,166.3,79.863546,aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,180.7,141.799429,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,162.2,68.250249,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,173.0,75.816864,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,172.5,75.970712,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,171.4,83.285753,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,165.0,82.13682,aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,182.0,151.278532,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,180.9,140.292018,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
